interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,female,Northeast,not hispanic,White,"$100,000 to $149,999",NY,NY10,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,new york
Some of the time,Not registered,Hillary Clinton,"No, I will not vote but I am eligible",Liberal,Part-time employed,The United States,male,South,hispanic,"Black, or African American","Less than $50,000",FL,,"No, we speak only English.",0,age_18-29,black,High school or less,florida
Only now and then,Registered,Donald Trump,"Yes, I already voted",Conservative,Homemaker,The United States,female,Midwest,not hispanic,White,"$250,000 and above",IL,IL06,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,illinois
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",TX,TX04,"No, we speak only English.",0,age_18-29,white,High school or less,texas
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Very Liberal,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,White,"Less than $50,000",CT,CT03,"No, we speak only English.",1,age_30-44,white,Some post secondary,connecticut
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Retired,The United States,female,West,not hispanic,White,"Less than $50,000",NV,NV02,"No, we speak only English.",1,age_45-59,white,High school or less,nevada
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Liberal,Full-time employed,The United States,female,South,not hispanic,White,"Less than $50,000",TX,,"No, we speak only English.",0,age_30-44,white,Post secondary or higher,texas
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,male,West,not hispanic,White,"$50,000 to $99,999",CA,CA33,"Yes, we speak Spanish.",0,age_60_or_more,white,Post secondary or higher,california
Some of the time,Don't know,Hillary Clinton,Not sure,Not Sure,Student,The United States,female,Midwest,not hispanic,White,"Less than $50,000",ND,ND00,"No, we speak only English.",1,age_18-29,white,Post secondary or higher,north dakota
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,male,West,not hispanic,"Black, or African American","Less than $50,000",CA,CA37,"No, we speak only English.",1,age_60_or_more,black,Some post secondary,california
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Retired,The United States,female,West,not hispanic,White,"$50,000 to $99,999",CA,CA03,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,california
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",TX,TX05,"No, we speak only English.",0,age_45-59,white,Some post secondary,texas
